genome_ID	OTU	NCBI_ID	novelty_category
ack	1	1872122	known_strain
fnn	2	657445	known_strain
hhr	3	210	known_strain
gbi	4	1810504	known_strain
kvq	5	244366	known_strain
mdv	6	114527	known_strain
splu	7	1355015	known_strain
ahn	8	565	known_strain
bad	9	1680	known_strain
ecor	10	539	known_strain
mcap	11	2095	known_strain
mhol	12	152142	known_strain
lyt	13	72226	known_strain
mts	14	2033	known_strain
aad	15	405212	known_strain
hrb	16	80842	known_strain
plr	17	235572	known_strain
bsd	18	138336	known_strain
bamf	19	1390	known_strain
sfj	20	61651	known_strain
esr	21	39492	known_strain
seno	22	28901	known_strain
bgg	23	1331682	known_strain
pgm	24	189425	known_strain
baj	25	9	known_strain
mcit	26	171281	known_strain
asei	27	1530123	known_strain
pof	28	1886797	known_strain
cira	29	76862	known_strain
pom	30	1920175	known_strain
cbg	31	777	known_strain
rpz	32	782	known_strain
bhud	33	109472	known_strain
mro	34	1134405	known_strain
ska	35	1967	known_strain
bla	36	28025	known_strain
sue	37	1280	known_strain
lax	38	83655	known_strain
mmas	39	35	known_strain
aori	40	31958	known_strain
bot	41	931866	known_strain
smic	42	335406	known_strain
apb	43	767891	known_strain
dzc	44	204042	known_strain
tav	45	1936021	known_strain
chi	46	83554	known_strain
bya	47	1390	known_strain
tpyo	48	1661	known_strain
ssyr	49	216945	known_strain
amd	50	33910	known_strain
ttw	51	307486	known_strain
pmos	52	1306993	known_strain
mhg	53	158847	known_strain
ply	54	235572	known_strain
atb	55	1872650	known_strain
apag	56	728	known_strain
ldl	57	1584	known_strain
pfq	58	82985	known_strain
slim	59	1620215	known_strain
cper	60	85991	known_strain
bper	61	520	known_strain
ssob	62	1310	known_strain
bsq	63	1423	known_strain
yal	64	29483	known_strain
bpsc	65	28026	known_strain
elac	66	357441	known_strain
dly	67	552810	known_strain
sya	68	13690	known_strain
hmr	69	84405	known_strain
mve	70	85404	known_strain
pdc	71	1496	known_strain
agn	72	198467	known_strain
pvg	73	585	known_strain
efk	74	1263978	known_strain
spsy	75	1476	known_strain
dmy	76	61435	known_strain
fsa	77	236753	known_strain
mgo	78	134601	known_strain
mgq	79	2097	known_strain
amah	80	332411	known_strain
clr	81	201	known_strain
pel	82	198251	known_strain
rsv	83	35794	known_strain
spn	84	1313	known_strain
paet	85	749	known_strain
bbrv	86	1685	known_strain
spk	87	1314	known_strain
jli	88	53458	known_strain
lmox	89	1639	known_strain
acd	90	1148157	known_strain
arq	91	1667	known_strain
aha	92	644	known_strain
lms	93	1639	known_strain
ena	94	562	known_strain
salx	95	216931	known_strain
tpy	96	1661	known_strain
mcac	97	2095	known_strain
