scientific_name,genome_name
Mycoplasma edwardii,medw
Serratia sp.,sera
Cardinium endosymbiont,cec
Burkholderiales bacterium,bbay
Pseudomonas fluorescens,pfo
Granulibacter bethesdensis,gbs
Xanthomonas oryzae,xoy
Mesoplasma entomophilum,ment
Nitrosomonas sp.,nii
Malaciobacter molluscorum,amol
Caldibacillus thermoamylovorans,bthv
Leptotrichia buccalis,lba
Borrelia hermsii,bhi
Aerococcus urinaehominis,auh
Chitinophaga agri,chih
Metabacillus sp.,meku
Corynebacterium vitaeruminis,cvt
Hahella chejuensis,hch
Pectobacterium parmentieri,pwa
Ferrimonas lipolytica,fes
Chlamydia muridarum,cmg
Candidatus Carsonella,cri
Thiobacillus denitrificans,tbd
Vagococcus coleopterorum,vah
Helicobacter pylori,hpyu
Ferrimonas balearica,fbl
Streptomyces violaceoruber,svu
Tenericutes bacterium,tbz
Treponema pedis,tped
Alicyclobacillus acidocaldarius,aad
Massilia armeniaca,masz
Veillonella parvula,vpr
Francisella tularensis,ftc
Clostridium difficile,cdc
Suttonella sp.,sutr
Shimwellia blattae,ebt
Staphylococcus aureus,saug
Rufibacter sp.,ruf
Mannheimia granulomatis,mgra
Candidatus Sulcia,smg
Apilactobacillus kunkeei,lku
Rickettsia prowazekii,rpw
Corynebacterium variabile,cva
Cyanobacterium endosymbiont,ceo
Taylorella asinigenitalis,tas
Tatumella ptyseos,tpty
Pseudomonas hamedanensis,phv
Bartonella sp.,barj
Pediococcus pentosaceus,ppe
Citrobacter werkmanii,cwe
Enterobacter asburiae,eau
Streptomyces peucetius,speu
Spiroplasma floricola,sfz
Mycoplasma bovis,mbi
Streptococcus agalactiae,sagc
Kyrpidia tusciae,bts
Ruminiclostridium herbifermentans,rher
MAG: Alistipes,aput
Candidatus Pelagibacter,peg
Microbacterium aurum,maur
Mycolicibacillus koreensis,mkr
Campylobacter gracilis,cgra
Sutterella faecalis,sutk
Pseudomonas oryziphila,pory
Leptotrichia trevisanii,lte
Pseudomonas lundensis,plq
Pantoea ananatis,pam
Francisella uliginis,frx
Mycobacterium neoaurum,mne
Segniliparus rotundus,srt
Actinomyces marmotae,amam
Helicobacter hepaticus,hhe
Kushneria marisflavi,kma
Kocuria rhizophila,krh
Actinosynnema pretiosum,apre
Aggregatibacter actinomycetemcomitans,aah
Streptococcus pyogenes,stz
Gramella forsetii,gfo
Legionella lansingensis,llg
Stenotrophomonas acidaminiphila,sacz
Mesoplasma florum,mfw
Mycobacterium sinense,mjd
Prosthecochloris sp.,pros
Fusobacterium mortiferum,fmo
Galbibacter sp.,gaa
Moraxella catarrhalis,mct
Alteromonas australica,aaus
Chryseobacterium sp.,chrs
Hungateiclostridiaceae bacterium,ruk
Mycolicibacterium flavescens,mflv
Acidihalobacter yilgarnensis,aprs
Chenggangzhangella methanolivorans,cmet
Streptococcus suis,sst
Fibrella sp.,fib
Mycoplasmopsis bovirhinis,mboh
Lactobacillus reuteri,lrf
Mycoplasma agalactiae,maa
Staphylococcus muscae,smus
Pleurocapsa sp.,plp
Neisseria lactamica,nla
Sphingopyxis sp.,sphx
Pradoshia sp.,prd
Pseudomonas chlororaphis,pcp
Glaesserella parasuis,hpas
Bacillus tequilensis,bteq
Corynebacterium diphtheriae,cdv
Cellvibrio sp.,ceg
Coxiella endosymbiont,ceno
Thiohalobacter thiocyanaticus,ttc
Geobacillus sp.,gct
Helicobacter pylori,heo
Mucilaginibacter ginsenosidivorax,mgk
Eggerthella lenta,ele
secondary endosymbiont,senm
Bacillus amyloliquefaciens,bamc
Qipengyuania flava,efv
Blautia pseudococcoides,byl
Helicobacter cinaedi,hcb
Chlamydia trachomatis,ctq
Ornithobacterium rhinotracheale,ori
Hydrogenophaga sp.,hyc
Acidovorax sp.,ack
Maioricimonas rarisocia,mri
Dehalogenimonas lykanthroporepellens,dly
Candidatus Nasuia,ndl
Pusillimonas sp.,pud
Aureimonas sp.,aala
Pandoraea pnomenusa,ppk
Bradyrhizobium oligotrophicum,aol
Actinomarinicola tropica,atq
Streptomyces fodineus,spun
Veillonella rodentium,vrm
Salmonella bongori,sbg
Mycobacterium leprae,mlb
Shewanella glacialimarina,sgla
Chlorobium limicola,cli
Mannheimia varigena,mvi
Sphingobacterium sp.,spdr
Ectothiorhodospira sp.,ebs
Campylobacter armoricus,carm
Cutibacterium acnes,cacn
Candidatus Portiera,pld
Streptococcus pluranimalium,splr
Rickettsia prowazekii,rpl
Klebsiella michiganensis,koy
Desulfotomaculum acetoxidans,dae
Clostridium beijerinckii,cbz
Eubacterium sulci,euu
Cedecea neteri,cen
Candidatus Liberibacter,lso
Halarcobacter anaerophilus,aana
Chlamydia trachomatis,ctrr
Polaromonas vacuolata,pvac
Streptococcus dysgalactiae,sda
Cloacibacillus porcorum,cpor
Helicobacter bilis,hbl
Geovibrio thiophilus,gtl
Erysipelotrichaceae bacterium,erb
Lacipirellula parvula,lpav
Sulfitobacter donghicola,sdo
Microbulbifer sp.,mii
Lignipirellula cremea,lcre
Bifidobacterium animalis,blt
Mycobacterium lepraemurium,mlp
Streptomyces sp.,strf
Candidatus Tremblaya,tpq
MAG: Thiocapsa,thim
Methylacidiphilum infernorum,min
Mycoplasma hyorhinis,mhh
Akkermansia muciniphila,amu
Simiduia agarivorans,saga
Candidatus Viadribacter,cbot
Streptococcus pyogenes,sps
Wolbachia endosymbiont,wol
Collinsella aerofaciens,caer
Chlamydia trachomatis,cfw
Corynebacterium ammoniagenes,camg
Spiroplasma litorale,sll
Mycoplasma gallisepticum,mgv
Actinobacillus pleuropneumoniae,apj
Mycobacterium leprae,mle
Streptococcus equi,sequ
Thalassolituus oleivorans,tor
Bifidobacterium adolescentis,bado
Companilactobacillus ginsenosidimutans,lgn
