Sutterella wadsworthensis
Paraneptunicella aestuarii
Aliarcobacter skirrowii
Richelia sinica
Auritidibacter sp.
Georgenia yuyongxinii
Hydrogenovibrio marinus
Lactobacillus ruminis
Bacillus velezensis
Bacillus amyloliquefaciens
Microlunatus elymi
Brevibacterium linens
Streptomyces rimosus
Lelliottia jeotgali
Bacillus coagulans
Pseudoarcobacter acticola
Candidatus Planktophila
Enterobacter cloacae
Helicobacter pylori
Dactylosporangium vinaceum
Buchnera aphidicola
Formosa sp.
Eubacterium maltosivorans
Acinetobacter guillouiae
Alteromonas mediterranea
Kosakonia sacchari
Enterococcus silesiacus
Roseateles depolymerans
complete chromosome
Actinobacillus porcitonsillarum
Flavobacterium nackdongense
Mycobacterium bovis
Mycolicibacter minnesotensis
Mycoplasma bovigenitalium
Salmonella enterica
Prevotella denticola
Anaplasma marginale
Veillonella rodentium
Neisseria cinerea
Serratia plymuthica
Clostridiales sp.
Gemmatimonas phototrophica
Nautilia sp.
Thermosulfuriphilus ammonigenes
Desulfococcus oleovorans
Pseudomonas aeruginosa
Spirochaeta thermophila
Halomonas meridiana
Pedobacter heparinus
Streptococcus dysgalactiae
Latilactobacillus curvatus
Nocardioides seonyuensis
Oligotropha carboxidovorans
Carnobacterium sp.
Cellulomonas sp.
Mycoplasma conjunctivae
Halomonas campaniensis
Mycobacterium lepraemurium
Melittangium boletus
Sphingobacteriaceae bacterium
Yersinia canariae
Acinetobacter baumannii
Sulfuriroseicoccus oceanibius
Campylobacter armoricus
Actinomyces sp.
Campylobacter jejuni
Pseudomonas otitidis
Selenomonas sp.
Flavobacterium commune
Mahella australiensis
Ornithinimicrobium pratense
Methylotenera mobilis
Aerococcus sanguinicola
Aeromonas simiae
Otariodibacter oris
Alteromonas australica
Enterobacter asburiae
Pseudonocardia sp.
Streptococcus suis
Eggerthella sp.
Rickettsia typhi
Pseudogulbenkiania sp.
Endosymbiont of
Xylanimonas protaetiae
Bifidobacterium angulatum
Pelolinea submarina
Mycoplasma tauri
Alkalitalea saponilacus
Francisella tularensis
Corynebacterium pseudotuberculosis
Streptococcus pneumoniae
Flavobacterium album
Pseudomonas cremoricolorata
Chlamydia trachomatis
Myroides odoratus
Stappia indica
Paenibacillus tianjinensis
Chlamydia trachomatis
Granulicella sp.
Marinobacter hydrocarbonoclasticus
Rhodococcus equi
Streptococcus pneumoniae
Mesoflavibacter sp.
Shewanella violacea
Thermoanaerobacter italicus
Mycobacterium smegmatis
Lactobacillus plantarum
Escherichia coli
Sulfitobacter sp.
Rathayibacter rathayi
Candidatus Carsonella
Thermotoga petrophila
Spiroplasma monobiae
Treponema pallidum
Arcobacter ellisii
Aquimarina sp.
Bifidobacterium animalis
Rhodopseudomonas palustris
Corynebacterium gerontici
Corynebacterium imitans
Urbifossiella limnaea
Bacillus sp.
Stenotrophomonas sp.
Sulfurospirillum sp.
Dehalobacter sp.
Streptomyces violaceoruber
Methylocystis sp.
Thermotoga maritima
Maribacter sp.
Streptococcus agalactiae
Haemophilus sp.
MAG: Candidatus
Streptomyces aquilus
Phototrophicus methaneseepsis
Deinococcus puniceus
Corynebacterium argentoratense
Devosia sp.
Streptococcus iniae
Rhodococcus rhodochrous
Synechococcus sp.
Riemerella anatipestifer
Aeromonas jandaei
Salmonella enterica
Neisseria meningitidis
Nocardia nova
Streptomyces fulvissimus
Chlamydophila pneumoniae
Candidatus Methylopumilus
Aliarcobacter lanthieri
Streptococcus lutetiensis
Yersinia pseudotuberculosis
Nitratifractor salsuginis
Olivibacter sp.
Streptacidiphilus bronchialis
Pusillimonas sp.
Chlamydia trachomatis
Bartonella henselae
Candidatus Izimaplasma
Megasphaera massiliensis
Enterobacteriaceae bacterium
Allofrancisella inopinata
Streptomyces spectabilis
Pseudomonas shahriarae
Flavobacterium psychrophilum
Candidatus Kinetoplastibacterium
Spiroplasma chrysopicola
Streptomyces xiamenensis
Campylobacter jejuni
Bacteroides helcogenes
Paenibacillus barcinonensis
Pseudomonas multiresinivorans
Arsenicicoccus sp.
Enterobacter sp.
Geobacter bremensis
Cobetia marina
Pandoraea pnomenusa
Lactococcus lactis
Frederiksenia canicola
Streptomyces decoyicus
Microbacterium chengjingii
Gynuella sunshinyii
Delftia sp.
Buchnera aphidicola
Escherichia coli
Rickettsia prowazekii
Erysipelothrix rhusiopathiae
Acinetobacter variabilis
Ehrlichia chaffeensis
Spiribacter sp.
Providencia rustigianii
Propionibacterium acnes
Polaribacter reichenbachii
Bifidobacterium bifidum
Acidovorax citrulli
Qipengyuania flava
Actinoplanes sp.
Helicobacter pylori
Spiroplasma syrphidicola
Halomonas sp.
Acidipropionibacterium acidipropionici
Avibacterium paragallinarum
Terrihabitans soli
Microterricola viridarii
Marinithermus hydrothermalis
Spiroplasma eriocheiris
Berkelbacteria bacterium
Streptococcus iniae
Micropruina glycogenica
Sphingosinicella microcystinivorans
Pectobacterium aquaticum
Mycolicibacterium gadium
Morganella morganii
Mycobacterium indicus
Pectobacterium brasiliense
Streptomyces cavourensis
Salicibibacter halophilus
Geomonas nitrogeniifigens
Mycolicibacter hiberniae
Neorickettsia sennetsu
Thermosulfidibacter takaii
Streptomyces lydicus
Limihaloglobus sulfuriphilus
Neisseria lactamica
Prevotella ruminicola
Peptoclostridium difficile
Mycoplasma gallisepticum
Wolbachia endosymbiont
MAG: Candidatus
Staphylococcus aureus
Pseudomonas nanhaiensis
Aneurinibacillus soli
Pseudomonas veronii
Burkholderiales bacterium
Kushneria marisflavi
Algibacter alginicilyticus
Bacillus sp.
Mongoliitalea daihaiensis
Bifidobacterium kashiwanohense
Pasteurella multocida
Corynebacterium diphtheriae
Flavobacterium faecale
Collimonas pratensis
Actinomyces oris
Mycoplasma nasistruthionis
Lactobacillus fermentum
Sporosarcina psychrophila
Enterobacter cloacae
Janthinobacterium sp.
Neisseria meningitidis
Xanthomonas campestris
Silicimonas algicola
Weissella coleopterorum
Rhodococcus globerulus
Candidatus Protochlamydia
Kangiella sediminilitoris
Mucilaginibacter xinganensis
Lactobacillus apis
Serratia quinivorans
Pseudodesulfovibrio cashew
Vagococcus coleopterorum
Thermotoga sp.
